60,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1
61,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,3
62,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,6,,7,,6,,,,
64,,,,,,,,,,,,,,,,,,,,,,9,,,,8,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,
67,,,,,12,13,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,15,,16,,,,,
70,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,19,,19,18,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,
76,25,,25,,24,,25,25,25,25,,,,,,,,,,,,,,,,,,25,25,
77,26,,26,,,,26,26,26,26,,,,,,,,,,,,,,,,,,26,27,
78,28,,28,,,,29,28,28,28,,,,,,,,,,,,,,,,,,28,29,
79,34,,31,,,,33,32,34,34,,,,,,,,,,,,,,,,,,30,,
80,39,,36,,,,38,37,39,39,,,,,,,,,,,,,,,,,,35,,
81,40,,,,,,,,41,42,,,,,,,,,,,,,,,,,,,,
82,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,44,,,45,,44,,,,
84,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,48,,48,47,,,48,48,48,48,,,,,,,,,,,,,,,,,,48,48,
86,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,51,,51,50,,,51,51,51,51,,,,,,,,,,,,,,,,,,51,51,
88,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,59,59,59,59,59,59,59,59,59,59,59,59,59,,59,58,59,,,
95,60,60,,,,,,,,,,,,,,,,,,,,,,60,,,,,,
96,,,,,,,,,,,,,,,61,61,61,61,61,61,,62,62,,,,,,,
97,,,,,,,,,,,,,,,64,63,65,66,67,68,,,,,,,,,,
98,69,69,,,,,,,,,,,,,,,,,,,,,,69,,,,,,
99,,,,,,,,,,,70,70,,,71,71,71,71,71,71,,71,71,,71,,71,,,
100,,,,,,,,,,,72,73,,,,,,,,,,,,,,,,,,
101,74,74,,,,,,,,,,,,,,,,,,,,,,74,,,,,,
102,,,,,,,,,,,76,76,75,75,76,76,76,76,76,76,,76,76,,76,,76,,,
103,,,,,,,,,,,,,77,78,,,,,,,,,,,,,,,,
104,80,81,,,,,,,,,,,,,,,,,,,,,,79,,,,,,
105,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,83,83,83,83,83,83,83,83,83,83,,83,83,84,83,83,83,,,
107,85,85,,,,,,,,,,,,,,,,,,,,,,85,86,,,,,
108,87,87,,,,,,,,,,,,,,,,,,,,,,87,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,88,,89,,,,,
